"text","toxicity","severe_toxicity","obscene","threat","insult","identity_attack","sexual_explicit"
"Jeff Sessions is another one of Trump's Orwellian choices. He believes and has believed his entire career the exact opposite of what the position requires.","0.20000000298023224","0.0","0.0","0.0","0.20000000298023224","0.0","0.0"
"I actually inspected the infrastructure on Grand Chief Stewart Philip's home Penticton First Nation in both 2010 and 2013.  Exactly Zero projects that had been identified in previous inspection reports had been funded by the federal government, and the entire band was housed in ATCO trailers.  Clearly the Harper Conservatives had already reduced the cash his band was sent to zero.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"No it won't . That's just wishful thinking on democrats fault .   For the 100 th time , Walker cited the cost of drug users treatment as being lost with Obamacare .  I laugh every time I hear a liberal claim republicans want to hurt people , and that's why they dumped Obamacare.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Instead of wringing our hands and nibbling the periphery of the issue, how about we face the actual issue head on? I would support a city ordinance against loitering, and applaud city councilors who champion a real and permanent solution.

The details could be determined, but would include a limit to persons sitting, standing, lying, smoking, conversing over a certain amount of time, perhaps 10 minutes. Exceptions, of course, would be for shopping, dining, attending a licensed and approved event, etc.

It is noble to provide some services for the truly needy in our community, but that, in my estimation, is a separate issue. I do not wish for my city to provide for nor encourage idle and harassing behaviors in our city core.

Enough is enough!","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"how many of you commenters have garbage piled high in your yard, bald tires, dead batteries, rotten pallets, car parts, blah blah blah. this town is a pigpen. drive around and look for yourself, its pathetic.","0.7538461685180664","0.0","0.04615384712815285","0.0","0.7230769395828247","0.0","0.0"
"Why can't the Globe & Mail provide the symbols for these ETFs?
It is difficult to look up the precise ETF mentioned because one
 wrong word  can give you the wrong ETF.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"That's already been happening, Carl, it's called Fake News.","0.10000000149011612","0.0","0.0","0.0","0.10000000149011612","0.0","0.0"
"imagine the costs for security, transportation, advisors tagging along, their families, groupies for this g20.  and not much is expected to be accomplished.  so why bother with the waste?","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"So they want to put United on the board of this non-profit privatized company to modernize our ATC systems?  The same United that was just fined for flying uncertified aircraft.  You want to put the airlines in charge of all ATC now when they routinely overbook flights and bounce passengers when ever they want?

As a current FAA employee that stands to make out like a bandit if they do privatize, this is inane! I'll just have to collect my military retirement, FAA retirement, and go to work maintaining the same equipment I maintain now. And no, there are no other people in the USA that has experience on AK's ""unique"" equipment. Once they do upgrade to new equipment, we will be like the lower 48 but until then, we're it.

And is the US Gov't going to give billions of dollars worth of equipment to this new company? If it fails, are we then going to buy that same equipment back?
Also, federal employees certify air safety. Civilian are not required to certify the same equipment.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"No, no that can't be.  It's Russia that's the big hacker boogieman isn't it?  Sheesh it's so hard to remember who it is we don't want to be doing business with.  Saudi Arabia buys our weapons when they shouldn't be buying our weapons.

The Liberal party decides to sell businesses to China that are directly involved in high tech at the same time as telling us that is where our middle class jobs will come from.  Who are these people inside our government?  Do they know what Chinese workers get paid?  Do they know that they just let the wolf right inside the henhouse?

If I sound confused that's because I am.  Our government sounds more dangerous to me than anyone else.","0.4000000059604645","0.0","0.0","0.0","0.20000000298023224","0.4000000059604645","0.0"
"You're quite the one to talk after the kind of remarks you have made about indigenous peoples.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"If it walks like a duck, and quacks like a duck....","0.5","0.0","0.0","0.0","0.5","0.0","0.0"
"At about this point: It participated with the Federation of South African Women in protests against the apartheid-era government, such as the 1952 Defiance Campaign and the Women's March of 9 August 1956.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"In my lifetime, in my society, I've seen the power shift from male to female(e.g. check out who the school principals and university bureaucrats now are). Mr Trudeau knows it, his success is founded on his constant courting of the female voter.  And I think it's great.  

But one side-effect is that the first thing that happens is ""this is too hard, we're changing things up to make things easier, we're lowering the bar"". So people respond, and now we've got people who can't do hard stuff any more.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"I kinda don't have a dog in the fight...except to say - Good!

Can't stand Washington...

(side note, apparently they are they largest single (negative) contributor to the stat that says the Presidents Cup winner takes home the Stanley Cup less than 30% of the time...no one else is even close. If you take them out of the equation, the number jumps something like 8-10%! if memory from the article I read is accurate...)","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Perhaps lower reproduction rates are a choice. I don't know about you, but I'm a Millennial who considers there to be more to life than popping out a litter off young'uns. 

By the way, Canada's been sub-replacement since the early 70s. Today's fertility rates of 1.6/woman are comparable to the mid-80s, and slightly higher than 15 years ago.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cancer does not have consciousness and doesn't target people intentionally to incite terror in order to impose an ideology. Extremists hate the west and our way of life, our secular society and freedoms as they try to impose their fundamentalist views through random terror attacks on innocents. Comparing terror attacks to cancer is a false equivalency, and a shameful comparison as if death by terror is trivial because relatively few die compared to cancer, implying this is an acceptable loss of life, despicable.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Time to base at least 2 x 61 missile MK-41 launch cells used on cruisers filled with ABM versions (102 missiles) at Barking Sands to compliment that new SPY-6 extended range radar.  This to ensure they can take multiple shots at  any inbound ballistic missiles from North Korea and create an impenetrable barrier, so it would be futile to do so again.  Yes, it would be expensive, but to protect billions upon billions of dollars of infrastructure, population, and critical military bases in Hawaii would be a no-brainer and worth it.  Even with the other type of interceptors based in Alaska, it would be smart to have this additional layer of defense.","0.20000000298023224","0.0","0.0","0.20000000298023224","0.0","0.20000000298023224","0.0"
"Wow.  Who knew there were so many Russian trolls interested in the G&M?

The inconvenient truth for our Russian friends is that their story does not hold water.  In particular, the idea that Assad innocently and accidentally bombed a cache of chemical weapons held by the rebels is completely ridiculous.  If a chemical weapons facility had been hit, the resulting explosion would most likely have caused the chemical to burn up, international weapons experts say. And a nerve agent like sarin is not likely to be stored in its active form in such a facility, and its components would need to be mixed to be lethal.","0.30000001192092896","0.0","0.0","0.0","0.20000000298023224","0.10000000149011612","0.0"
"Lol--this is funny and I am sure, intentional -> ""Your speling is terrible.""

I also appear unable to spell but normally it is from ""cat assisted"" or poor typing :)

Have a good one.","0.10000000149011612","0.0","0.0","0.0","0.20000000298023224","0.0","0.0"
"BS !","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"The council should also vote that the Hawaii ERS Pension managers be mandated to buy any local municipal bonds at full face value!","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Students this week have been demanding a lot, shorter school days, easier classes, less homework, and shortened weeks.  Why don't we just give everyone a diploma when they reach the age of five.  Everyone is a winner there.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"lol, cannot blame a whole class of people for the actions of one individual.  But Pocho, where are the Donald's tax returns which he promised he would release?  What a coward he has turned out to be.  Don't you agree?  I won't even mention lying, deceiving, hating.  The Donald is king in all of that.  :-)","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Corrupt hypocrites throughout he government. Of the money, by the money and for the money. Brought to you by the jesus freaks cause birds of a feather flock together.","0.7162162065505981","0.04054053872823715","0.0810810774564743","0.0","0.7162162065505981","0.21621622145175934","0.0"
"Trust me, you're doing more due diligence on their project than they are! LOL","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"There are certain political factions that are very quick to label any valid opposition as ""hate.""  Beware of the new McCarthyist witch hunters..different ideologyâ¦same MO.","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"If the law forbids him from owning or possessing firearms, why did the court order HPD to give back his weapons after he plead guilty and was convicted of the offense they now say disqualifies him from gun ownership??","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"I'm a MYC Grad....class in mid 80's....","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
